fr,en,de,it
raz axe z,zeroing z axis,Nullpunktsetzung Z-Achse,azzeramento asse z
raz axe zp,zp axis zero reset,zp-Achse Nullrückstellung,azzeramento asse zp
raz axes,axis zero reset,Achsen-Nullrückstellung,azzeramento assi
raz axes machines x y z b c,machine x y z b c axis zero reset,raz der maschinenachsen x y z b c,azzeramento assi macchine x y z b c
raz axes robot u et w,reset robot axes u and w,raz der roboterachsen u und w,azzeramento assi robot u e w
raz axes robot u w,robot u w axes zero reset,raz der roboterachsen u w,azzeramento assi robot u w
raz c,reset c,raz der c achse,azzeramento c
raz des axes,axes reset,raz der achsen,azzeramento degli assi
raz dialog manager,raz dialog manager,raz Dialogmanager,gestore di dialogo raz
raz possible,reset possible,raz möglich,azzeramento possibile
raz remise à zéro,zero reset,Nullsetzung,azzeramento
raz signifie remise à zéro,reset means reset to zero,reset bedeutet nullsetzung,reset significa azzeramento
raz tous les axes,zero reset of all axes,Nullrückstellung aller Achsen,azzeramento di tutti gli assi
raz u,zero reset u,Nullrückstellung u,azzeramento u
raz u et w,u and w zeroing,raz u und w,azzeramento u e w
raz w,zero reset w,Nullrückstellung w,azzeramento w
raz x y z b,zeroing x y z b,Nullpunktsetzung x y z b,azzeramento x y z b
raz xyzb,xyzb reset,xyzb-Nullstellung,azzeramento x y z b
raz zp,zp axis zero reset,ZP-Achse Nullrückstellung,azzeramento asse zp
rconnect,rconnect,rconnect,rconnect
rconnect cnc disconnect,rconnect cnc disconnect,rconnect cnc getrennt,rconnect cnc disconnesso
rconnect icône zone notification,rconnect task bar notification area icon,rconnect Symbol Infobereich,icona rconnect nella zona di notifica
rconnect menu contextual,rconnect shortcut menu,rconnect Kontextmenü,menu contestuale rconnect
rconnect menu contextuel,rconnect shortcut menu,rconnect kontextmenü,rconnect menù contestuale
rconnect options,rconnect options,rconnect optionen,rconnect opzioni
rconnect propriétés application,rconnect application properties,rconnect eigenschaften der anwendung,rconnect proprietà applicazione
rconnect services information,rconnect services information,rconnect services information,rconnect servizi informazione
rd mécanique,mechanical runout,fe mechanik,fuori corsa meccanico
rd soft,rd soft,rd soft,rd soft
recenser,list,erfassen,censire
recensez,list,erfassen,censire
recharger les outil dans lasersmart pro,reload the tools in lasersmart pro,Werkzeuge in Lasersmart Pro nachladen,ricaricare gli utensili in lasersmart pro
recherche,search,Suche,ricerca
rechercher et lancer lutilitaire setupexe,search for and launch the setupexe utility,das tool setupexe suchen und starten,cercare e lanciare lutilità setupexe
rechercher f,search f,suchen f,cercare f
recommandé,recommended,empfohlen,raccomandato
reconnection timeout,reconnection timeout,Wiederverbindungszeitüberschreitung,timeout di riconnessione
recontrôler l'alignement w,recheck the alignment of w,die ausrichtung von w kontrollieren,ricontrollare l'allineamento di w
rectangle ou carré,rectangle or square,rechteck oder quadrat,rettangolo o quadrato
rectification en plongée ou transversale,plunge or traverse grinding,Einstech- oder Quer-Schleifen,rettifica a tuffo o trasversale
rectifier les meules,dress the grinding wheels,abrichten der schleifscheiben,ravvivare le mole
rectifier un outil,grind a tool,ein Werkzeug schleifen,rettificare un utensile
rectitude,straightness,Geradheit,rettilineità
rectitude corrigée à corr,corrected straightness at corr,korrigierte Geradheit bei Korr,rettilineità corretta a corr
rectitude à corr,straightness at corr,Geradheit bei Korr,rettilineità a corr
reculer en hnd laxe y en,move back the y axis in hand mode,in hnd die y achse zurückfahren,arretrare l'asse y in modalità manuale
recyclage,recycling,Recycling,riciclaggio
redémarrage après un arrêt d'urgence,restart after emergency stop,Neustart nach einem Not-Aus,riavvio dopo un arresto di emergenza
redémarrer,restart,neu gestartet werden,riavviare
redémarrer laserdesk,restart laserdesk,laserdesk neu starten,riavviare laserdesk
ref,ref,ref,ref
ref remise à zéro,ref reset,ref reset,ref azzeramento
refaire un raz,perform a new reset,ein raz durchführen,ripetere un azzeramento
reference,reference,referenz,riferimento
refroidissement broche,spindle cooling,Spindelkühlung,raffreddamento mandrino
refroidisseur,cooler,kühler,raffreddatore
reglage longitudinal,longitudinal adjustment,längseinstellung,regolazione longitudinale
reglages,settings,Einstellungen,regolazioni
relais,relay,Relais,relè
relais et contacteurs,relays and contactors,relais und schütze,relè e contattori
relais pmc,pmc relay,pmc relais,relè pmc
relais pmc f,pmc relay f,pmc relais f,relè pmc f
relancer ensuite ipconfig,then relaunch ipconfig,anschließend ipconfig wieder starten,poi riavviare ipconfig
relancer l'assistant,reload wizard,Assistent neu starten,riavviare l'assistente
relancer lapplication,restart the application,die anwendung neu starten,rilanciare lapplicazione
relations humaines,human relations,menschliche beziehungen,relazioni umane
relay,relay,Relais,rele
relief,relief,relief,rilievo
relief wheel,relief wheel,Profilier­scheibe,ruota di sagomatura
relâché,released,gelöst,rilasciato
remarque,note,hinweis,osservazione
remarque il existe deux constructions différentes,note there are two different constructions,Hinweis: Es gibt zwei verschiedene Bauarten,nota: esistono due costruzioni diverse
remarque importante,important note,wichtiger hinweis,osservazione importante
remarque une valeur excessive signifie,note an excessive value means that,"Hinweis: Ein übermäßiger Wert bedeutet, dass",nota: un valore eccessivo significa che
remarques,notes,Hinweise,osservazioni
remettez linterrupteur principal,reset the main switch,den Hauptschalter wieder auf,riposizionare l'interruttore principale
remettre cw à,reset cw to,cw wieder auf stellen,rimettere cw a
remettre laxe en place,reposition the axis,die achse wieder in position bringen,rimettere lasse in posizione
remettre les joints,refit the seals,Dichtungen wieder anbringen,rimontare le guarnizioni
remettre les n à,reset the n to,die nummern wieder auf setzen,rimettere i n a
remettre les outils proprement et programmer,replace the tools properly and program,die werkzeuge ordnungsgemäß platzieren und programmieren,riposizionare gli utensili correttamente e programmare
remettre tous les axes sauf laxe,reset all axes except the axis,alle Achsen außer der Achse zurücksetzen,azzerare tutti gli assi tranne l'asse
remise en main propre,handover,Übergabe,consegna a mano
remise à zéro,reset,Reset,azzeramento
remise à zéro compteur,reset counter,zähler zurücksetzen,azzeramento contatore
remise à zéro des axes,axis reset,nullsetzung der achsen,azzeramento degli assi
remontage,refit,Wiedermontage,rimontaggio
remonter lensemble en procédant inversement,reassemble the unit in reverse order,die Baugruppe in umgekehrter Reihenfolge wieder zusammenbauen,rimontare linsieme procedendo in ordine inverso
remonter porte latérale,reinstall side door,die seitliche tür wieder montieren,rimontare la porta laterale
remote,remote,Fernbedienung,telecomando
remove,remove,remove,remove
rempl photo,photo fill,Foto füllen,riempimento foto
remplace chapitre,replaces chapter,ersetzt kapitel,sostituisce capitolo
remplacement,replacement,Austausch,sostituzione
remplacement cartouche filtrante groupe hydraulique,replacement of hydraulic unit filter cartridge,austausch der filterpatrone des hydraulikaggregats,sostituzione della cartuccia filtrante del gruppo idraulico
remplacement film protection écran tactile,replace touchscreen protective film,Wechsel der Schutzfolie des Touchscreens,sostituzione della pellicola protettiva del touchscreen
remplacement filtre alimentation,replace supply filter,wechsel des versorgungsfilters,sostituzione filtro di alimentazione
remplacement filtre alimentation air comprimé,replacement of compressed air supply filter,wechsel des druckluftversorgungsfilters,sostituzione del filtro di alimentazione dell'aria compressa
remplacement pile,battery replacement,Batteriewechsel,sostituzione batteria
remplacement pile cn,replace nc battery,wechsel der cnc batterie,sostituzione batteria cn
remplacement pile pc,replace pc battery,wechsel der pc batterie,sostituzione batteria pc
remplacement protection transparente,replace transparent guards,Austausch der Klarsichtverkleidung,sostituzione protezione trasparente
remplacement silencieux,replace silencer,austausch des schalldämpfers,sostituzione silenziatore
remplacer,replace,austauschen,sostituire
remplacermettre à jour des modules existants,replaceupdate existing modules,ersetzenaktualisieren der vorhandenen module,sostituireaggiornare i moduli esistenti
remplacé par,replaced with,ersetzt durch,sostituito con
remplacé par haefeli,replaced by haefeli,durch haefeli ersetzt,sostituito da haefeli
remplissage,filling,Befüllung,riempimento
remplissage excessif,overfilling,Überfüllung,riempimento eccessivo
remplisser,fill in,ausfüllen,compilare
remplissez,fill in,ausfüllen,compilare
remède,solution,Lösung,soluzione
rep,item,pos,rif
reprendre cette procédure au point,resume this procedure at the point,diesen vorgang bei,ripetere questa procedura in
repère,identifier,Pos.,riferimento
repère bouchon ø,plug ø mark,position stopfen ø,riferimento tappo ø
repère tuyau d'air n,air hose mark n,Luftschlauchmarkierung n,riferimento tubo d'aria n
repère tuyau d'huile,oil pipe mark,Ölschlauchmarkierung,riferimento tubo dell'olio
repère tuyau hydraulique,hydraulic hose marker,Hydraulikschlauchmarkierung,riferimento tubo idraulico
requisiti,requirements,Anforderungen,requisiti di sicurezza manuali
requisiti di sicurezza manuali,manual safety requirements,manuelle Sicherheitsanforderungen,requisiti di sicurezza manuali
reset,reset,reset,reset
reset chargedécharge,reset loadunload,reset ladenentladen,reset caricamentoscaricamento
reset counter,reset counter,zähler zurücksetzen,azzerare il contatore
reseter lalarme,reset alarm,den Alarm zurücksetzen,resettare l'allarme
respecter,respect,einhalten,rispettare
respecter lordre des opérations,follow the order of operations,die reihenfolge der operationen einhalten,rispettare lordine delle operazioni
respectez,comply,einhalten,rispettare
responsable sécurité laser,laser safety officer,Laserschutzbeauftragter,responsabile sicurezza laser
resserrer les deux vis cruciformes,tighten the two Phillips screws,die beiden Kreuzschlitzschrauben festziehen,serrare le due viti a croce
ressort,spring,Druckfeder,molla
ressorts,springs,Federn,molle
reteste si hors tolérance,retest if out of tolerance,Neumessung bei Überschreitung der Toleranz,rimisura se fuori tolleranza
retesté si hors tolérance,retest if out of range,neumessung ausserhalb des messbereichs,rimisura se fuori tolleranza
retirer les batteries usagées,remove used batteries,die verbrauchten batterien entfernen,rimuovere le batterie usate
retirer les capots gênants,remove any obstructing covers,hinderliche Hauben entfernen,rimuovere i carter d’ingombro
retirer les connecteurs rapides x,remove the quick connectors x,die schnellkupplungen x entfernen,togliere i connettori rapidi pz
retirer les goupilles,remove the pins,die Stifte entfernen,rimuovere i perni
retirer les vis supérieures,remove the upper screws,die oberen Schrauben entfernen,rimuovere le viti superiori
retirez l'ancien filtre,remove the old filter,den alten filter entfernen,rimuovere il vecchio filtro
retournement,flipping,wenden,ribaltamento
retourner,to return,zurück,ritornare
retourner insert n en temps masqué,index insert n in background time,Einsatz Nr. n im Hintergrund wenden,ribaltare inserto n in tempo mascherato
retourner à l'étape,return to step,zurück zum Schritt,ritornare all'operazione
retourné,turned over,umgedreht,girato
retrait,withdrawal,Rückzug,ritiro
retrait après charge poupée,retract after load headstock,Zurückfahren nach Beladung Spindelstock,ritiro dopo il caricamento contropunta
retrait des batteries usagées,spent battery removal,Entfernen der verbrauchten Batterien,rimozione delle batterie usate
retrait position dattente,standby position withdrawal,Rückzug in Warteposition,ritiro in posizione di attesa
retrofit,retrofit,nachrüstung,retrofit
retry,retry,Wiederholen,riprova
rev x,rev x,rev x,rev x ddmmyyyy
rien à faire,no action required,nichts zu tun,nulla da fare
rigidité générale,overall rigidity,allgemeine steifigkeit,rigidità generale
risque d'endommager l'ébauche,risk of damaging the blank,gefahr der beschädigung des rohlings,rischio di danneggiare il cilindro grezzo
risque d'endommager les vis,risk of damaging the screws,die schrauben könnten beschädigt werden,rischio di danneggiare le viti
risque d'endommager les éléments,risk of damaging the components,die Elemente könnten beschädigt werden,rischio di danneggiare gli elementi
risque d'enroulement,risk of entanglement,gefahr des einziehens,rischio di avvolgimento
risque d'entraînement,risk of entanglement,Gefahr der Erfassung,rischio di trascinamento
risque dincendie,fire hazard,Brandgefahr,rischio d'incendio
risque décrasement des doigts,risk of crushing fingers,Quetschgefahr für Finger,rischio di schiacciamento delle dita
risque délectrocution,risk of electrocution,Stromschlaggefahr,rischio di elettrocuzione
risque mécanique,mechanical hazard,mechanisches Risiko,rischio meccanico
risque nominal,nominal hazard,Nennrisiko,rischio nominale
risques,risks,Risiken,rischi
risques d'allergies cutanées,risk of skin allergies,Risiko von Hautallergien,rischio di allergie cutanee
risques dincendie,fire risks,Brandgefahr,rischi d'incendio
rl arrière,rl back,rl hinten,rl dietro
rl palpé,probed rl,getasteter rl,rl tastato
rl probing,rl probing,rl probing,rl probing
rl sans appui,rl without steadyrest,rl ohne stütze,rl senza appoggio
rmonitor,rmonitor,rmonitor,rmonitor
rmonitor ajout dune nouvelle machine,rmonitor add machine,rmonitor hinzufügen einer neuen maschine,rmonitor aggiunta di una nuova macchina
rmonitor dashboard overview,rmonitor dashboard overview,rmonitor dashboard übersicht,panoramica dashboard rmonitor
rmonitor dashboard ribbon,rmonitor dashboard ribbon,rmonitor dashboard symbolleiste,barra multifunzione dashboard rmonitor
rmonitor data log,rmonitor data log,rmonitor datalog,registro dati rmonitor
rmonitor fenêtre doptions,rmonitor options window,rmonitor Optionsfenster,rmonitor finestra di opzioni
rmonitor home page,rmonitor home page,rmonitor startseite,pagina iniziale rmonitor
rmonitor menu file,rmonitor file menu,rmonitor menü file,rmonitor menù file
rmonitor menu file options,rmonitor file menu options,rmonitor menü file optionen,rmonitor menù file opzioni
rmonitor overview etiquette machine,rmonitor overview machine label,rmonitor overview typenschild,rmonitor overview etichetta macchina
rmonitor page daccueil,rmonitor home page,rmonitor startseite,rmonitor home page
rmonitor page daide,rmonitor help page,rmonitor hilfeseite,rmonitor pagina di aiuto
rmonitor settings ajout dun groupe,rmonitor settings add group,rmonitor settings hinzufügen einer gruppe,rmonitor settings aggiunta di un gruppo
rmonitor settings ajout dun shift,rmonitor settings add shift,rmonitor settings hinzufügen einer schicht,rmonitor settings aggiunta di un turno
rmonitor timelines cumulated status,rmonitor timelines cumulated status,rmonitor timelines cumulated status,stato cumulato delle timeline rmonitor
rmonitor wizard connexion serveur centralisé,rmonitor wizard central server connection,rmonitor assistent verbindung zentraler server,rmonitor wizard connessione server centralizzato
rmonitor wizard créer nouveau fichier,rmonitor wizard create new file,rmonitor assistent neue datei erstellen,rmonitor wizard crea nuovo file
robinet,valve,Ventil,rubinetto
robohskpoistionpoupeeplus,robohskheadstockpositionplus,robohskpositionpoupeeplus,robohskposizionepiantoneplus
robot,robot,Roboter,robot
robot barreau,blank robot,Rohling-Roboter,robot cilindretto
robot barreaux,blanks robot,Rohling-Roboter,robot cilindretti
robot en mode automatique,robot in automatic mode,Roboter im automatischen Modus,robot in modalità automatica
robot en mode manuel,robot in manual mode,Roboter im manuellen Modus,robot in modalità manuale
robot ext,ext robot,externer Roboter,robot esterno
robot ext pas en,external robot not on,externer Roboter nicht an,robot esterno non acceso
robot externe,external robot,externer Roboter,robot esterno
robot fanuc,fanuc robot,fanuc roboter,robot fanuc
robot hsk,hsk robot,hsk roboter,robot hsk
robot pillers left,robot gripper left,Roboter-Greifer links,pinza robot sinistra
robot pillers right,robot gripper right,Roboter-Greifer rechts,pinza robot destra
robot uniquement,robot only,nur Roboter,solo robot
robot xi,xi robot,roboter xi,robot xi
rol année mois jourpar,rol yy mm ddpar,rol jahr monat tagpar,rol anno mesegiorno
rollo ref,rollo ref,rollo nr,rollo rif
rollomatic sa,rollomatic sa instructions,rollomatic sa anweisungen,istruzioni rollomatic sa
rollomatic sa préconise une surface antidérapante,rollomatic sa recommends a non slip surface,rollomatic sa empfiehlt eine rutschsichere oberfläche,rollomatic sa raccomanda una superficie antisdrucciolevole
rollomcast exe,rollomcast exe,rollomcast exe,rollomcast exe
rond idem vg,round same as vg,rund identisch vg,rotondo come vg
rotatif sur moteur ac,rotary on AC motor,Drehgeber am AC-Motor,rotativo su motore AC
rotation,rotation,Drehung,rotazione
rotation arrêt,stop rotation,Rotationsstopp,rotazione arresto
rotation complète,full rotation,vollständige rotation,rotazione completa
rotation des meules,wheel rotation,Rotation der Schleifscheiben,rotazione delle mole
rotation des meules à vitesse réduite,wheel rotation at reduced speed,Schleifscheibenrotation mit geringer Drehzahl,rotazione delle mole a velocità ridotta
rotation en rpm,rotation in rpm,Drehzahl in U/min,rotazione in rpm
rotation outil,tool rotation,Werkzeugrotation,rotazione utensile
rotation pas permise dans cette zone,rotation not permitted in this area,Rotation in diesem Bereich nicht zulässig,rotazione non consentita in questa zona
rotation sens anti horaire,anti clockwise rotation,Rotation gegen den Uhrzeigersinn,rotazione in senso antiorario
rotation sens horaire,clockwise rotation,Rotation im Uhrzeigersinn,rotazione in senso orario
rotor,rotor,Rotor,rotore
roue,wheel,rad,ruota
rouge,red,rot,rosso
rouleau,roller,Rolle,rullo
rpm,rpm,rpm,rpm
rpm standard,rpm standard,rpm standard,rpm standard
running,running,im betrieb,in funzione
râpes limes,rasps files,raspeln feilen,raspe lime
règle,rule,Maßstab,regolo
règle absolue,absolute linear scale,absoluter Linearmaßstab,regola assoluta
règle absolue option,absolute linear scale option,Option Absolutmaßstab,opzione riga assoluta
règlecodeur,scale encoder,massstabencoder,regolacodificatore
règles générales,general rules,allgemeine grundsätze,regole generali
règles linéaires,linear scales,Maßstäbe,righe lineari
règles linéaires sur demande,linear scales on request,maßstäbe auf anfrage,righe lineari su richiesta
récipient,container,behälter,recipiente
récupération,recovery,Rückgewinnung,recupero
récupération des données,data retrieval,Datenerfassung,recupero dei dati
récupération dune opération déjà enregistrée,retrieving a pre saved operation,abrufen einer bereits gespeicherten bearbeitung,recupero di unoperazione già registrata
récupérer les fichiers batch sur myrollomatic,retrieve the batch files on myrollomatic,die batch dateien auf myrollomatic herunterladen,recuperare i file batch su myrollomatic
référence,reference,Referenz,riferimento
référence caméra,camera reference,Referenzkamera,riferimento telecamera
référence cassette,cassette reference,Kassettenreferenz,riferimento cassetta
référence complète,complete reference,komplette Referenz,riferimento completo
référence outil,tool reference,Werkzeugreferenz,riferimento utensile
référence outil meule,tool wheel reference,Werkzeug-Schleifscheibenreferenz,riferimento utensile mola
référence rollols,reference rollols,referenz rollols,riferimento rollols
référence suite,reference continued,referenz fortsetzung,riferimento segue
référence y,y reference,y referenz,riferimento y
références,references,Referenzen,riferimenti
références des meules,wheel references,Schleifscheibenreferenzen,riferimento delle mole
références offsets,offset references,Versatzreferenzen,riferimenti offset
références outils,tool references,Werkzeugreferenzen,riferimenti utensili
références plaque longue plaque courte,references long plate short plate,referenzen lange platte kurze platte,riferimenti piastra lunga piastra breve
référez vous aux données techniques des annexes,refer to the technical data in the appendices,siehe technische Daten in den Anhängen,riferirsi ai dati tecnici degli allegati
réglage,adjustment,Einstellung,regolazione
réglage angulaire,angular adjustment,winkeleinstellung,regolazione angolare
réglage cassettes,cassette settings,Kassetteneinstellungen,regolazione cassette
réglage chargedécharge,load/unload setting,Lade-/Entladeeinstellung,regolazione carico/scarico
réglage cnc inserts,cnc inserts setup,einrichten cnc wendeplatten,regolazione inserti cnc
réglage course douverture pince w,adjustment of collet w opening stroke,einstellung des öffnungswegs der spannzange w,regolazione corsa di apertura pinza w
réglage d,setup of,Einstellung von,regolazione di
réglage des arborescences,tree settings,Eigenschaften der Baumstruktur,regolazione delle arborescenze
réglage des butées,stop adjustment,einstellung der anschläge,regolazione delle battute
réglage des cassettes à trous,adjustment of perforated cassettes,einstellung der kassetten mit löchern,regolazione delle cassette a fori
réglage des cassettes à trous x,adjustment of perforated cassettes x,einstellung der kassetten mit löchern x,regolazione delle cassette a fori x
réglage des meules,wheel adjustment,Schleifscheibeneinstellung,regolazione delle mole
réglage des pas u et w,adjustment of pitches u and w,einrichten der lochabstände u und w,regolazione dei passi u e w
réglage des positions chargedécharge,adjustment of loading/unloading positions,einrichten der positionen ladenentladen,regolazione delle posizioni di caricoscarico
réglage des positions robot,robot position adjustment,einrichten der roboterpositionen,regolazione delle posizioni robot
réglage des positions transversales et verticales,adjustment of transverse and vertical positions,einstellung der quer und vertikalposition,regolazione delle posizioni trasversali e verticali
réglage débitmètre dhuile darrosage,coolant oil flow meter setting,Einstellung des Kühlmittel-Durchflussmessers für Öl,regolazione flussometro dell'olio refrigerante
réglage en utilisant trou sur,adjustment using hole on,Einstellung mit Loch auf,regolazione utilizzando foro su
réglage en utilisant trou sur deux,setting using two-hole method,Einstellung mit Zwei-Loch-Methode,regolazione utilizzando foro su due
réglage fin clé mm,fine adjustment mm key,Feineinstellung mm Schlüssel,regolazione di precisione chiave mm
réglage fin latéral,lateral fine adjustment,seitliche Feineinstellung,regolazione di precisione laterale
réglage fin vertical,vertical fine adjustment,vertikale Feineinstellung,regolazione di precisione verticale
réglage final,final adjustment,endgültige einstellung,regolazione finale
réglage grossier,coarse adjustment,Grobeinstellung,regolazione grossolana
réglage guide v,v guide adjustment,V-Führungseinstellung,regolazione guida v
réglage horizontal,horizontal adjustment,horizontale Einstellung,regolazione orizzontale
réglage latéral,lateral adjustment,seitliche einstellung,regolazione laterale
réglage longitudinal,longitudinal setting,Längseinstellung,regolazione longitudinale
réglage longueur auto,auto length setting,automatische Längeneinstellung,auto length setting
réglage machine,machine settings,einstellung der maschine,regolazione macchina
réglage manuel,manual setting,manuelle einstellung,regolazione manuale
réglage mécanique,mechanical adjustment,mechanische Einstellung,regolazione meccanica
réglage mécaniques,mechanical settings,mechanische Einstellungen,regolazioni meccaniche
réglage np,np settings,np-Einstellungen,impostazioni np
réglage par palpage,setting by probing,einstellung durch tasten,regolazione mediante tastatura
réglage pas bon,incorrect setting,Einstellung nicht in Ordnung,regolazione non corretta
réglage pas u,step u setting,Einstellung Steigung u,regolazione passo u
réglage pas w,step w setting,Einstellung Steigung w,regolazione passo w
réglage pince,collet adjustment,Spannzangeneinstellung,regolazione pinza
réglage pince robot,robot gripper setting,Roboter-Greifereinstellung,regolazione pinza robot
réglage pince robot charge décharge,robot gripper setting loadunload,Roboter-Greifereinstellung Be- und Entladen,regolazione pinza robot carico scarico
réglage pince w,w collet settings,W-Spannzangen-Einstellung,regolazione pinza w
réglage pneumatique,pneumatic adjustment,pneumatische Einstellung,regolazione pneumatica
réglage pneumatique dun,pneumatic adjustment of a,pneumatische Einstellung einer,regolazione pneumatica di un
réglage position cassettes et,cassette position adjustment and,einrichtung der position kassetten und,regolazione posizione cassette e
réglage positions cassettes,cassette position settings,Kassettenpositions-Einstellungen,regolazione delle posizioni delle cassette
réglage pression air comprimé,compressed air pressure adjustment,einstellung des luftdrucks,regolazione della pressione dell'aria compressa
réglage pression alimentation,set supply pressure,einstellung des versorgungsdrucks,regolazione della pressione di alimentazione
réglage pression hydraulique,hydraulic pressure adjustment,einstellung des hydraulikdrucks,regolazione della pressione idraulica
réglage robot,robot settings,Einstellung des Roboters,regolazione robot
réglage robot sans palpeur voir chapitre,robot adjustment without probe see chapter,Roboter-Einstellung ohne Taster siehe Kapitel,regolazione robot senza tastatore vedi capitolo
réglage transversal,transverse setting,Quereinstellung,regolazione trasversale
réglages,settings,Einstellungen,regolazioni
réglages corrects,correct settings,korrekte Anpassungen,regolazioni corrette
réglages des mors,jaw settings,Backeneinstellungen,regolazioni delle griffe
réglages des préférences,preference settings,Einstellung der Präferenzen,regolazione delle preferenze
réglages incorrects,incorrect settings,inkorrekte Anpassungen,regolazioni non corrette
réglages mécaniques,mechanical settings,mechanische Einstellungen,regolazioni meccaniche
réglages particuliers,special settings,besondere einstellungen,regolazioni particolari
réglages particuliers page,specific settings page,Sonder-Einstellungsseite,pagina delle impostazioni specifiche
réglages poupée,workhead settings,Einstellung des Spindelstocks,regolazione testa portapezzo
réglages poupée porte outil,workhead settings,Einstellung des Werkstückspindelstocks,regolazione testa portautensili
réglages software,software settings,Softwareeinstellungen,regolazioni software
réglagesxd,workhead settings,Werkstückspindel-Einstellungen,impostazioni della testa portapezzo
réglagexd,wheel set up,Radeinstellung,regolazione della mola
régler,set,einstellen,regolare
régler l'unité,set the unit,Einheit einstellen,regolare l'unità
régler points cassette,adjust cassette points,Kassettenpunkte einstellen,regolare punti cassette
régler points cassette charge décharge,adjust cassette points load unload,Kassettenpunkte Be- und Entladen einstellen,regolare i punti cassetta carico scarico
réglette,rule,Lineal,righello
réglette indicative,indicator rule,Anzeigelineal,regolo indicatore
régulateur,controller,Regler,regolatore
réinitialiser,reset,zurücksetzen,reset
réinitialiser laxe b apz à,reset the b axis apz to,die b achse apz auf reinitialisieren,reinizializzare lasse b apz a
réinstallation mysql erreur,mysql re installation error,neuinstallation mysql fehler,reinstallazione mysql errore
répertoire,directory,Verzeichnis,directory
répertoire cinstalltouchwink,cinstalltouchwink directory,verzeichnis cinstalltouchwink,directory cinstalltouchwink
répétabilitén,repeatability,Wiederholgenauigkeit,ripetibilità
répéter cette dernière,repeat the latter,diese letzte wiederholen,ripetere quest'ultima
répéter cette opération plusieurs fois,repeat this operation several times,diese Maßnahme mehrmals wiederholen,ripetere quest'operazione diverse volte
répéter cette opération si nécessaire,repeat this step if necessary,diese Maßnahme bei Bedarf wiederholen,ripetere quest'operazione se necessario
répéter l'étape,repeat the step,den Schritt wiederholen,ripetere l'operazione
répéter les points,repeat the points,die Punkte wiederholen,ripetere i punti
répéter les étapes,repeat the steps,die Schritte wiederholen,ripetere i passaggi
répéter plusieurs fois,repeat several times,mehrmals wiederholen,rinnovare diverse volte
réseau,network,Netzwerk,rete
réseau local,local network,lokales Netzwerk,rete locale
réserver laptop si besoin,book laptop if needed,gegebenenfalls laptop reservieren,prenotare il laptop se necessario
réservoir,reservoir,Behälter,serbatoio
réservoir refroidissement broches,spindle cooling tank,Spindelkühlmittelbehälter,serbatoio raffreddamento elettromandrini
réservé aux personnes formées,restricted to trained personnel,geschulten personen vorbehalten,riservato alle persone formate
réservé aux utilisateurs avancés,for advanced users only,nur für fortgeschrittene benutzer,solo per utenti avanzati
résistance,strength,Festigkeit,resistenza
résistance à l'usure,wear resistance,Verschleißfestigkeit,resistenza all'usura
résolution,resolution,Auflösung,risoluzione
résolution mm,resolution mm,Auflösung mm,risoluzione mm
résolution écran,screen resolution,Bildschirmauflösung,risoluzione dello schermo
résoudre l'un ou l'autre problème,resolve either problem,eines der beiden Probleme lösen,risolvere uno dei due problemi
résultat,result,ergebnis,risultato
résultats,results,ergebnisse,risultati
rückstellen,reset,rückstellen,reimpostare
s indique single mode,s indicates single mode,s bedeutet single modus,s indica single mode
s tr min,s rpm,s min⁻¹,s giri/min
s'il n'y a pas d'appui inscrire,"if there is no support, enter",wenn keine Stütze vorhanden ist eingeben,se non c'è appoggio iscrivere
sa fabrication sur nos machines,its manufacture on our machines,seine Fertigung auf unseren Maschinen,la sua fabbricazione sulle nostre macchine
sadresser à,please contact,bitte wenden Sie sich an,rivolgersi a
saisir,enter,eingeben,inserire
saisir les corrections au diamètre,enter the diameter corrections,eingabe der durchmesserkorrekturen,inserire le correzioni di diametro
saisir les offsets en,enter the offsets in,die Versätze in ... eingeben,inserire gli offset in
saisir les paramètres des cassettes client,enter the customer cassette parameters,die parameter der kunden kassetten eingeben,inserire i parametri delle cassette cliente
saisissez,enter,geben sie folgendes ein,inserire
sans,none,ohne,senza
sans activer les trous à sauter,without activating the skip holes,ohne Löcher zum Überspringen zu aktivieren,senza attivare i fori da saltare
sans alarme,without alarm,ohne alarm,senza allarme
sans dressage meule,without wheel dressing,ohne Abrichten der Schleifscheibe,senza ravvivatura mola
sans influence,without influence,ohne einfluss,senza effetto
sans limite particulière,without specific limit,ohne besondere einschränkung,senza limite particolare
sans palpeur et sans appui,without probe and without support,ohne taster und ohne stütze,senza tastatore e senza appoggio
sans risques,without risks,ohne Risiken,senza rischi
sans robot,without robot,ohne roboter,senza robot
sans épointage,without gashing,ohne Ausspitzung,senza smussatura
sassurer que lanneau no soit desserré,make sure that ring n is not loose,"sicherstellen, dass der Ring n nicht gelockert ist",accertarsi che lanello n sia allentato
sauvegarde,backup,Sicherung,backup
sauvegarde automatique,automatic backup,automatische Speicherung,salvataggio automatico
sauvegarde des fichiers a,file backup a,sicherung der a dateien,backup dei file a
sauvegarde des fichiers b,file backup b,sicherung der b dateien,backup dei file b
sauvegarde macro robot,robot macro backup,Sicherung des Robotermakros,backup macro robot
sauvegarde paramètres,backup of parameters,Parametersicherung,salvataggio dei parametri
sauvegarde paramètres cnc,cnc parameters backup,sicherung der cnc parameter,backup parametri cnc
